ia1,ia2,winner,moves
ia_breydet.pl,ia_garnier_kusiak_simple_min_max.pl,ia_breydet.pl,19
ia_breydet.pl,ia_lmaret.pl,ia_breydet.pl,19
ia_breydet.pl,ia_manchot.pl,ia_manchot.pl,10
ia_breydet.pl,ia_random.pl,ia_breydet.pl,7
ia_breydet.pl,ia_ychastagner.pl,ia_breydet.pl,7
ia_breydet.pl,ia_ychastagner_mcts.pl,ia_breydet.pl,7
ia_breydet.pl,ia_ychastagner_random.pl,ia_breydet.pl,25
ia_garnier_kusiak_simple_min_max.pl,ia_breydet.pl,ia_garnier_kusiak_simple_min_max.pl,19
ia_garnier_kusiak_simple_min_max.pl,ia_lmaret.pl,ia_garnier_kusiak_simple_min_max.pl,19
ia_garnier_kusiak_simple_min_max.pl,ia_manchot.pl,ia_manchot.pl,10
ia_garnier_kusiak_simple_min_max.pl,ia_random.pl,ia_garnier_kusiak_simple_min_max.pl,7
ia_garnier_kusiak_simple_min_max.pl,ia_ychastagner.pl,ia_garnier_kusiak_simple_min_max.pl,7
ia_garnier_kusiak_simple_min_max.pl,ia_ychastagner_mcts.pl,ia_garnier_kusiak_simple_min_max.pl,7
ia_garnier_kusiak_simple_min_max.pl,ia_ychastagner_random.pl,ia_garnier_kusiak_simple_min_max.pl,7
ia_lmaret.pl,ia_breydet.pl,ia_lmaret.pl,19
ia_lmaret.pl,ia_garnier_kusiak_simple_min_max.pl,ia_lmaret.pl,19
ia_lmaret.pl,ia_manchot.pl,ia_manchot.pl,10
ia_lmaret.pl,ia_random.pl,ia_lmaret.pl,7
ia_lmaret.pl,ia_ychastagner.pl,ia_lmaret.pl,7
ia_lmaret.pl,ia_ychastagner_mcts.pl,ia_lmaret.pl,7
ia_lmaret.pl,ia_ychastagner_random.pl,ia_ychastagner_random.pl,10
ia_manchot.pl,ia_breydet.pl,ia_manchot.pl,7
ia_manchot.pl,ia_garnier_kusiak_simple_min_max.pl,ia_manchot.pl,7
ia_manchot.pl,ia_lmaret.pl,ia_manchot.pl,7
ia_manchot.pl,ia_random.pl,ia_manchot.pl,7
ia_manchot.pl,ia_ychastagner.pl,ia_manchot.pl,7
ia_manchot.pl,ia_ychastagner_mcts.pl,ia_manchot.pl,7
ia_manchot.pl,ia_ychastagner_random.pl,ia_ychastagner_random.pl,10
ia_random.pl,ia_breydet.pl,ia_breydet.pl,26
ia_random.pl,ia_garnier_kusiak_simple_min_max.pl,ia_garnier_kusiak_simple_min_max.pl,8
ia_random.pl,ia_lmaret.pl,ia_random.pl,15
ia_random.pl,ia_manchot.pl,ia_manchot.pl,20
ia_random.pl,ia_ychastagner.pl,ia_ychastagner.pl,18
ia_random.pl,ia_ychastagner_mcts.pl,ia_ychastagner_mcts.pl,20
ia_random.pl,ia_ychastagner_random.pl,ia_ychastagner_random.pl,8
ia_ychastagner.pl,ia_breydet.pl,ia_ychastagner.pl,11
ia_ychastagner.pl,ia_garnier_kusiak_simple_min_max.pl,ia_ychastagner.pl,11
ia_ychastagner.pl,ia_lmaret.pl,ia_ychastagner.pl,11
ia_ychastagner.pl,ia_manchot.pl,ia_ychastagner.pl,7
ia_ychastagner.pl,ia_random.pl,ia_ychastagner.pl,13
ia_ychastagner.pl,ia_ychastagner_mcts.pl,ia_ychastagner.pl,17
ia_ychastagner.pl,ia_ychastagner_random.pl,ia_ychastagner.pl,15
ia_ychastagner_mcts.pl,ia_breydet.pl,ia_ychastagner_mcts.pl,11
ia_ychastagner_mcts.pl,ia_garnier_kusiak_simple_min_max.pl,ia_ychastagner_mcts.pl,11
ia_ychastagner_mcts.pl,ia_lmaret.pl,ia_ychastagner_mcts.pl,11
ia_ychastagner_mcts.pl,ia_manchot.pl,ia_ychastagner_mcts.pl,7
ia_ychastagner_mcts.pl,ia_random.pl,ia_ychastagner_mcts.pl,7
ia_ychastagner_mcts.pl,ia_ychastagner.pl,ia_ychastagner.pl,20
ia_ychastagner_mcts.pl,ia_ychastagner_random.pl,ia_ychastagner_mcts.pl,31
ia_ychastagner_random.pl,ia_breydet.pl,ia_ychastagner_random.pl,7
ia_ychastagner_random.pl,ia_garnier_kusiak_simple_min_max.pl,ia_ychastagner_random.pl,7
ia_ychastagner_random.pl,ia_lmaret.pl,ia_ychastagner_random.pl,17
ia_ychastagner_random.pl,ia_manchot.pl,ia_manchot.pl,8
ia_ychastagner_random.pl,ia_random.pl,ia_ychastagner_random.pl,15
ia_ychastagner_random.pl,ia_ychastagner.pl,ia_ychastagner.pl,36
ia_ychastagner_random.pl,ia_ychastagner_mcts.pl,ia_ychastagner_mcts.pl,20
